Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Cluster
893,Salamanca,Piso en calle Hermosilla,,Recoletos,2000,2.0,114,2.0,1.0,1.0,0,0,0,0,1
894,Salamanca,Piso en Padilla,21,Castellana,1850,2.0,80,1.0,0.0,1.0,0,0,0,0,5
896,Salamanca,Piso en Recoletos,,Recoletos,3500,4.0,254,3.0,1.0,1.0,0,0,0,0,1
897,Salamanca,Ático en Castellana,,Castellana,2100,2.0,120,6.0,1.0,1.0,1,0,0,0,2
898,Salamanca,Piso en calle José Ortega y Gasset,75,Lista,1100,2.0,85,2.0,0.0,1.0,0,0,0,0,5
899,Salamanca,Piso en calle Duque de Sesto,,Goya,2900,4.0,180,5.0,1.0,1.0,0,0,0,0,1
900,Salamanca,Piso en Castellana,,Castellana,2650,5.0,169,4.0,0.0,1.0,0,0,0,0,5
901,Salamanca,Ático en Goya,,Goya,3300,3.0,150,6.0,1.0,1.0,1,0,0,0,2
902,Salamanca,Ático en Castellana,,Castellana,6000,4.0,314,7.0,1.0,1.0,1,0,0,0,2
903,Salamanca,Piso en Principe de Vergara,46,Lista,1852,1.0,40,7.0,0.0,1.0,0,0,0,0,5
904,Salamanca,Piso en Goya,,Goya,4100,4.0,304,2.0,1.0,1.0,0,0,0,0,1
905,Salamanca,Piso en Castellana,,Castellana,1100,1.0,70,5.0,1.0,1.0,0,0,0,0,1
906,Salamanca,Ático en Castellana,,Castellana,2750,2.0,150,7.0,1.0,1.0,1,0,0,0,2
907,Salamanca,Piso en Velazquez,,Recoletos,2700,2.0,150,5.0,0.0,1.0,0,0,0,0,5
908,Salamanca,Piso en Castellana,,Castellana,4800,4.0,348,6.0,1.0,1.0,0,0,0,0,1
909,Salamanca,Piso en Lista,,Lista,4300,4.0,220,1.0,1.0,1.0,0,0,0,0,1
910,Salamanca,Piso en Recoletos,,Recoletos,3600,3.0,257,2.0,1.0,1.0,0,0,0,0,1
911,Salamanca,Piso en calle de Padilla,37,Lista,2295,2.0,120,0.0,0.0,0.0,0,0,0,0,5
912,Salamanca,Piso en calle de Hermosilla,38,Recoletos,2565,1.0,61,6.0,0.0,1.0,0,0,0,0,5
913,Salamanca,Piso en calle de Alcalá,82,Goya,2565,1.0,90,3.0,0.0,1.0,0,0,0,0,5
